hom_2_9	rescue%1:04:00::	economy%1:04:00::
hom_137_5	integral%5:00:00:whole:00	built-in%5:00:00:intrinsic:00
hom_138_15	pitch%1:27:00::	pitch%1:07:00::
hom_141_17	stable%5:00:00:unreactive:00	stable%3:00:00::
hom_142_17	front%1:06:00::	battlefront%1:15:00::
hom_145_11	shot%1:06:03::	shooting%1:04:00::
hom_147_8	average%1:09:01::	average%5:00:02:normal:01
hom_148_15	show%2:33:00::	show%1:04:00::
hom_149_9	register%1:07:00::	register%1:10:00::
hom_150_8	contact%1:26:00::	contact%1:04:02::
hom_152_21	material%1:27:00::	material%1:10:00::
hom_154_9	pawn%1:04:00::	pawn%2:40:00::
hom_157_8	organ_pipe%1:06:00::	shriek%2:32:00::
hom_159_21	tent-fly%1:06:00::	fly%1:05:00::
hom_160_9	mean%2:42:03::	average%5:00:02:normal:01
hom_163_13	vent%1:17:00::	vent%2:32:00::
hom_164_12	deletion%1:10:00::	reduce%2:30:00::
hom_165_13	steal%1:04:00::	steal%2:40:00::
hom_169_8	flop%2:38:00::	flop%2:38:01::
hom_170_23	stagecoach%1:06:00::	degree%1:26:01::
hom_172_10	vein%1:10:00::	vein%1:08:00::
hom_173_8	tender%1:06:02::	attendant%1:18:00::
hom_174_17	chain_mail%1:06:00::	mail%1:10:00::
hom_175_8	bang%1:11:00::	blast%2:33:01::
hom_178_15	suction_stop%1:10:00::	click%2:31:13::
hom_179_10	focus%1:26:00::	focus%1:09:00::
hom_181_17	net%1:06:03::	final%5:00:00:ultimate:00
hom_183_7	cavity%1:22:00::	pit%1:17:00::
hom_185_12	problem%1:26:00::	problem%1:10:00::
hom_186_13	bone%1:07:00::	bone%1:08:00::
hom_191_11	identity%1:07:00::	identity%1:09:00::
hom_193_14	ball%1:18:00::	ball%1:06:01::
hom_195_7	makeover%1:04:00::	makeover%1:04:01::
hom_196_14	point%1:21:00::	point%1:09:00::
hom_197_13	short%3:00:04::	short%1:06:00::
hom_198_3	borderland%1:15:00::	march%2:38:01::
hom_199_21	recount%1:04:00::	tell%2:32:01::
hom_201_13	buck%2:38:00::	arrest%1:26:00::
hom_202_12	scram%2:38:00::	get_down%2:30:00::
hom_203_7	pop%1:13:00::	pop%2:35:00::
hom_206_15	rake%1:18:00::	pitch%1:07:01::
hom_208_13	sleeve%1:06:00::	arm%1:08:00::
hom_209_17	lot%1:18:00::	batch%1:23:00::
hom_214_13	tent-fly%1:06:00::	fly%1:05:00::
hom_217_12	sphere%1:26:00::	world%1:14:01::
hom_218_5	stall%1:06:01::	point_of_view%1:09:00::
hom_220_11	root%1:23:00::	beginning%1:15:00::
hom_221_19	right%1:07:00::	right%1:15:00::
hom_222_7	high%3:00:02::	eminent%5:00:00:superior:01
hom_223_9	still%3:00:03::	still%4:02:01::
hom_224_11	cut%2:35:07::	reduce%2:30:00::
hom_226_10	dismay%2:37:00::	alarm%2:32:00::
hom_227_14	scram%2:38:00::	become%2:30:00::
hom_228_10	kid%1:27:00::	pull_the_leg_of%2:32:00::
hom_229_3	boil%2:30:00::	boil%2:30:01::
hom_233_26	tension%1:26:02::	tension%1:26:03::
hom_234_6	suit%1:06:01::	suit%2:42:05::
hom_236_12	mass%2:38:00::	batch%1:23:00::
hom_237_8	buzz%1:04:00::	buzz%2:39:00::
hom_238_3	commit%2:40:02::	give%2:32:03::
hom_243_11	chimneysweeper%1:18:00::	cross%2:42:00::
hom_245_10	uproot%2:41:00::	uproot%2:36:00::
hom_250_9	cutting%1:20:00::	strip%1:06:00::
hom_251_13	breed%2:29:00::	multiply%4:02:00::
hom_254_16	start%1:15:00::	scratch%2:35:00::
hom_255_10	servant%1:18:00::	retainer%1:21:00::
hom_258_14	gravity%1:19:00::	graveness%1:07:00::
hom_259_13	eccentric%1:18:00::	bit%1:17:00::
hom_260_12	ghostwriter%1:18:00::	haunt%2:37:00::
hom_261_11	fall%2:38:03::	descend%2:38:00::
hom_262_5	sap%1:27:00::	fool%1:18:00::
hom_266_12	vaulting_horse%1:06:00::	dollar%1:21:00::
hom_267_9	faculty%1:09:00::	staff%1:14:00::
hom_268_12	determine%2:32:01::	see%2:39:00::
hom_273_9	punch%1:13:00::	punch%2:35:00::
hom_276_13	log%1:06:01::	log%2:32:00::
hom_278_18	peak%1:15:00::	tip%1:15:00::
hom_281_15	bat%1:05:00::	bat%1:04:00::
hom_282_19	reservation%1:04:00::	reservation%1:15:00::
hom_284_14	stock%1:21:00::	livestock%1:05:00::
hom_285_19	sentence%1:10:00::	conviction%1:04:00::
hom_286_10	hop%1:20:00::	hop%1:04:00::
hom_289_7	season%1:28:02::	temper%2:30:00::
hom_293_18	impression%1:09:00::	mental_picture%1:09:00::
hom_294_11	discharge%1:19:00::	sparkle%1:07:01::
hom_296_7	cast%2:36:00::	determine%2:31:02::
hom_298_11	tune%2:30:00::	tuning%1:04:00::
hom_300_5	hedge%2:32:00::	hedge%2:35:01::
hom_301_14	chick%1:05:00::	dame%1:18:00::
hom_308_35	take%2:31:07::	necessitate%2:42:00::
hom_310_17	peach%1:20:00::	smasher%1:18:00::
hom_313_12	construction%1:10:01::	expression%1:07:00::
hom_315_21	maroon%1:07:00::	maroon%2:40:00::
hom_317_20	dressing%1:04:00::	dressing%1:04:01::
hom_318_17	blow%1:04:02::	blow%1:04:01::
hom_320_7	start%1:15:00::	scrape%1:11:00::
hom_323_11	shallow%3:00:01::	shoal%1:17:01::
hom_325_12	account%2:42:01::	explanation%1:10:00::
hom_327_13	square%1:06:00::	square%1:25:00::
hom_328_14	peep%2:32:01::	peep%2:32:00::
hom_330_8	necktie%1:06:00::	connect%2:35:00::
hom_334_10	gas%1:26:00::	gas%1:27:00::
hom_338_9	take%2:31:07::	necessitate%2:42:00::
hom_339_17	keep%2:42:00::	continue%2:42:01::
hom_341_10	musical_arrangement%1:10:00::	agreement%1:09:00::
hom_342_14	alive%5:00:00:lively:00	alive%5:00:00:sensitive:02
hom_344_5	material%1:27:00::	stuff%1:06:00::
hom_345_10	jam%2:35:00::	fix%1:26:00::
hom_348_19	accident%1:11:01::	accident%1:11:00::
hom_349_7	window%1:28:00::	window%1:06:00::
hom_350_11	airplane%1:06:00::	plane%1:25:00::
hom_354_3	submerge%2:38:00::	submerge%2:35:00::
hom_355_15	stock%1:21:00::	lineage%1:14:00::
hom_356_8	stripe%1:10:01::	band%1:06:01::
hom_357_7	breastfeed%2:34:00::	suck%2:34:04::
hom_358_8	stimulate%2:37:00::	raise%2:36:01::
hom_359_8	department_of_state%1:14:00::	state%2:32:00::
hom_360_10	flicker%1:11:00::	discharge%1:19:00::
hom_361_7	dead%3:00:02::	all_in%5:00:00:tired:00
hom_362_11	fake%5:00:00:artificial:00	faithlessly%4:02:00::
hom_363_15	heel%1:06:00::	heel%1:08:00::
hom_366_14	snip%2:35:00::	cut%2:30:02::
hom_367_12	terminal%1:06:00::	concluding%5:00:00:closing:00
hom_369_11	grillroom%1:06:00::	grill%2:30:00::
hom_371_6	wick%1:06:00::	taper%2:30:02::
hom_373_21	rough%1:15:00::	approximate%5:00:00:inexact:00
hom_374_11	gratuity%1:21:00::	peak%1:15:00::
hom_378_12	funny_story%1:10:00::	curious%5:00:00:strange:00
hom_380_20	step%1:06:00::	step%2:38:00::
hom_383_10	song%1:10:00::	song%1:11:00::
hom_386_9	format%2:36:00::	arranged%5:00:01:organized:02
hom_389_10	deletion%1:10:00::	cut%1:26:00::
hom_390_13	date%1:13:00::	date%1:28:00::
hom_391_10	long%3:00:02::	long%5:00:00:tall:00
hom_392_5	bang%1:08:00::	bang%1:12:00::
hom_393_10	float%2:38:00::	botch%2:41:00::
hom_394_10	warhead%1:06:00::	load%2:35:01::
hom_395_8	take%2:31:07::	necessitate%2:42:00::
hom_396_18	get%2:30:02::	let%2:41:00::
hom_399_13	draw%1:04:02::	draw%1:06:01::
hom_401_13	attention_deficit_disorder%1:26:00::	add%2:30:00::
hom_402_14	malodor%1:09:00::	stink%2:42:00::
hom_405_12	mint%1:13:01::	batch%1:23:00::
hom_406_6	component%1:06:00::	component%1:09:00::
hom_408_11	run%2:42:00::	happen%2:30:00::
hom_409_10	exhaust%1:06:00::	exhaust%2:29:02::
hom_411_8	align%2:30:00::	align%2:31:00::
hom_412_30	change%1:11:00::	change%1:24:00::
hom_414_13	incorporate%2:42:00::	hold%2:42:13::
hom_417_14	quarter%1:21:00::	one-fourth%1:23:00::
hom_418_9	downhill%1:11:00::	downhill%4:02:01::
hom_421_16	soil%1:27:01::	dirt%1:26:00::
hom_422_20	miss%1:11:00::	miss%2:39:00::
hom_424_16	knit%1:06:00::	knitting%1:04:00::
hom_426_7	book%1:06:00::	book%1:10:00::
hom_430_16	err%2:31:00::	skid%2:38:00::
hom_431_15	landslide%1:11:00::	landslide%1:11:01::
hom_434_13	clerical%3:01:01::	clerical%5:00:00:white-collar:00
hom_437_6	suspend%2:41:00::	suspend%2:35:00::
hom_440_9	grind%1:07:00::	grate%2:35:00::
hom_441_9	faculty%1:09:00::	staff%1:14:00::
hom_443_10	potential%1:26:00::	likely%5:00:00:prospective:00
hom_447_29	centering%1:04:00::	snap%2:32:00::
hom_449_17	calve%2:35:00::	calve%2:29:00::
hom_451_17	sag%2:38:00::	flag%2:32:00::
hom_452_8	laying_waste%1:04:00::	ruin%1:26:00::
hom_454_11	cabinet%1:14:00::	cabinet%1:06:00::
hom_457_12	crow%1:18:00::	gloat%2:32:00::
hom_464_10	iron%1:27:00::	iron%2:35:00::
hom_467_12	rivet%1:06:00::	concentrate%2:31:00::
hom_468_10	span%1:23:01::	bridge%1:06:00::
hom_470_12	buff%1:06:00::	buffer%1:27:00::
hom_473_23	dummy%1:06:00::	dummy%1:18:01::
hom_478_17	wage%1:21:00::	pay%2:40:00::
hom_479_11	change%1:21:02::	change%2:30:01::
hom_481_15	steep%1:17:00::	steep%3:00:00::
hom_482_9	strengthen%2:30:01::	arm%2:33:00::
hom_483_9	run_out%2:42:00::	die%2:30:00::
hom_485_15	connection%1:18:01::	connection%1:24:00::
hom_486_8	relative%1:05:00::	proportional%5:00:00:proportionate:00
hom_487_21	pipe_dream%1:09:00::	dream%1:09:01::
hom_488_9	bore%1:06:00::	digest%2:31:03::
hom_490_12	floor%1:06:01::	narrative%1:10:00::
hom_491_4	palm%1:23:00::	palm%1:08:00::
hom_493_7	hashish%1:06:00::	hash%2:35:00::
hom_495_11	control%2:41:01::	have%2:40:00::
hom_496_8	score%1:10:00::	mark%1:09:01::
hom_497_12	mental_picture%1:09:00::	impression%1:09:00::
hom_500_20	gun_trigger%1:06:00::	trip%2:36:00::
hom_502_10	staple%1:27:01::	raw_material%1:27:00::
hom_504_17	consider%2:32:00::	count%1:04:00::
hom_508_9	icky%5:00:00:bad:00	lousy%5:00:00:dirty:01
hom_509_5	antic%1:04:00::	joke%1:10:00::
hom_511_22	nut%1:06:00::	testis%1:08:00::
hom_512_11	plant%1:03:00::	establish%2:36:00::
hom_513_16	arrive%2:38:00::	come%2:38:00::
hom_514_10	tracing%1:06:00::	trace%1:10:00::
hom_516_10	charge%2:30:00::	charge%2:33:00::
hom_520_9	bobby_pin%1:06:00::	clasp%1:04:00::
hom_522_17	file%1:10:00::	file%2:32:02::
hom_524_9	course%1:04:01::	class%1:14:00::
hom_525_6	blink_of_an_eye%1:28:00::	flash%1:11:00::
hom_526_10	blend%1:10:00::	blend%2:30:00::
hom_531_12	comb%1:06:00::	comb%2:29:00::
hom_535_6	leap%1:04:00::	bounce%2:38:00::
hom_540_5	bicycle%1:06:00::	cycle%1:28:00::
hom_542_9	service%1:04:04::	helping%1:13:00::
hom_543_14	late%5:00:00:past:00	former%5:00:02:past:00
hom_545_8	club%1:06:03::	club%1:14:00::
hom_546_34	bless%2:32:02::	sign%1:10:05::
hom_547_7	downhill%1:11:00::	downhill%4:02:01::
hom_548_21	arouse%2:38:00::	bustle%1:04:00::
hom_552_6	problem%1:26:00::	problem%1:10:00::
hom_554_14	fashion%1:06:00::	manner%1:07:02::
hom_555_10	spruce%1:20:02::	spruce_up%2:29:00::
hom_557_9	slice%1:17:00::	piece%1:13:00::
hom_558_9	hasty%5:00:02:hurried:00	abrupt%5:00:00:steep:00
hom_563_6	fall%2:38:03::	fall%1:28:00::
hom_565_10	bottle%1:06:00::	bottle%2:40:00::
hom_566_14	square%1:06:00::	square%2:30:00::
hom_568_8	interest%1:21:00::	interest%1:09:00::
hom_570_8	psychiatrist%1:18:00::	flinch%2:38:00::
hom_571_10	support%1:04:03::	support%1:04:04::
hom_574_11	connection%1:24:00::	connection%1:26:00::
hom_575_11	charge%1:19:00::	charge%2:33:00::
hom_578_14	blink_of_an_eye%1:28:00::	flash%1:11:00::
hom_579_13	al-qaeda%1:14:00::	root%1:10:00::
hom_582_9	old_world_buffalo%1:05:00::	buffalo%2:37:00::
hom_584_17	lie%2:42:00::	lie%1:10:00::
hom_586_5	design%1:04:00::	purpose%1:09:00::
hom_587_7	drill%1:06:00::	exercise%1:04:02::
hom_588_8	steal%1:04:00::	steal%2:40:00::
hom_590_11	pop%1:13:00::	pop%2:35:00::
hom_591_10	flop%1:11:00::	flop%1:04:00::
hom_593_13	oppose%2:32:01::	fight%2:33:01::
hom_594_7	tend%2:42:01::	dispose%2:31:00::
hom_595_14	downhill%1:17:00::	downhill%1:11:00::
hom_596_16	quality%1:07:02::	bore%1:07:00::
hom_597_6	stable%1:06:00::	stable%3:00:00::
hom_598_9	cold%3:00:01::	cold%5:00:00:stale:00
hom_599_12	recoil%1:11:01::	complain%2:32:00::
hom_600_16	bench%1:14:01::	workbench%1:06:00::
hom_602_10	grouper%1:13:00::	grouper%1:05:00::
hom_605_6	thaw%1:22:00::	fade%2:30:02::
hom_608_8	steal%1:04:00::	steal%2:40:00::
hom_609_13	clean%3:00:01::	clean%5:00:01:pure:02
hom_614_18	steep%5:00:00:high:01	steep%1:17:00::
hom_619_12	drive%2:42:00::	drive%2:38:01::
hom_620_13	up%3:00:00::	up%4:02:00::
hom_621_6	bore%2:35:00::	exercise%1:04:02::
hom_622_4	foolhardy%5:00:00:bold:00	rash%5:00:00:imprudent:00
hom_628_13	storm%1:19:00::	storm%1:26:00::
hom_630_8	scale%2:36:00::	scale%1:24:03::
hom_635_18	degree%1:07:00::	degree%1:26:01::
hom_637_11	frank%1:13:00::	frank%1:18:00::
hom_638_11	construction%1:10:01::	expression%1:07:00::
hom_640_8	waste%1:04:00::	neutralize%2:35:00::
hom_642_12	carry%2:33:02::	transport%2:35:00::
hom_644_9	imagination%1:09:01::	vision%1:09:03::
hom_646_15	present%1:10:00::	present%1:28:00::
hom_648_3	high%3:00:02::	eminent%5:00:00:superior:01
hom_650_14	still%1:06:00::	still%4:02:01::
hom_654_11	faculty%1:09:00::	staff%1:14:00::
hom_655_14	afraid%5:00:00:concerned:00	afraid%5:00:02:concerned:00
hom_656_3	hydrofoil%1:06:01::	thwart%2:41:00::
hom_658_12	suggestion%1:09:00::	suggestion%1:10:00::
hom_659_7	flexible%5:00:00:elastic:00	elastic%5:00:00:adaptable:00
hom_660_12	check%2:31:01::	see%2:31:03::
hom_662_10	strain%1:19:00::	filter%2:35:00::
hom_664_10	hook%1:06:01::	hook%1:06:03::
hom_666_9	sweet%3:00:01::	sweet%3:00:02::
hom_667_10	note%1:10:05::	note%2:32:00::
hom_668_10	discard%1:17:00::	discard%2:40:00::
hom_670_15	snap%1:04:03::	snap%2:32:00::
hom_671_6	strike%1:04:05::	hit%2:35:01::
hom_672_10	acme%1:26:00::	top%1:15:01::
hom_673_13	fall%2:42:04::	descend%2:38:00::
hom_675_16	period%1:10:00::	degree%1:26:01::
hom_676_7	steal%1:04:00::	steal%2:40:00::
hom_677_6	log%1:06:01::	log%1:27:01::
hom_680_17	fertilize%2:30:00::	fertilize%2:30:01::
hom_681_7	degree%1:07:00::	degree%1:26:01::
hom_686_11	omission%1:04:01::	jump%2:31:00::
hom_688_6	coerce%2:41:00::	pressure%1:19:00::
hom_689_15	hack%1:05:02::	nag%2:32:00::
hom_693_44	bug%1:26:00::	bug%1:05:02::
hom_694_10	abstruse%5:00:00:esoteric:00	deep%1:28:00::
hom_697_12	snap_bean%1:13:00::	elasticity%1:07:00::
hom_698_11	hot%3:00:01::	hot%5:00:00:violent:00
hom_699_17	rash%1:26:00::	foolhardy%5:00:00:bold:00
hom_703_8	pressure%1:09:00::	pressure%1:19:00::
hom_704_11	wax%2:30:00::	originate%2:42:00::
hom_705_9	toll%1:21:00::	price%1:07:02::
hom_707_15	cure%2:30:00::	bring_around%2:29:01::
hom_710_24	pupil%1:08:00::	student%1:18:00::
hom_711_8	cut%1:10:04::	reduce%2:30:00::
hom_713_5	relative%1:05:00::	proportional%5:00:00:proportionate:00
hom_715_9	bug%1:05:02::	tease%2:37:00::
hom_716_3	retain%2:41:01::	restrain%2:41:01::
hom_717_10	dawn%1:28:00::	click%2:31:13::
hom_718_10	tip%1:15:00::	peak%1:15:00::
hom_723_13	work%1:19:00::	work%2:41:02::
hom_726_15	hip%1:25:00::	hip%1:08:00::
hom_727_9	stagecoach%1:06:00::	degree%1:26:01::
hom_728_9	pound%1:18:00::	pound%1:23:09::
hom_729_17	swab%1:06:00::	wipe_up%2:35:00::
hom_732_15	harden%2:30:00::	inure%2:30:00::
hom_735_3	wave%1:11:01::	beckon%2:32:00::
hom_736_9	start%1:15:00::	scrape%1:11:00::
hom_737_9	boot%2:29:00::	boot%2:35:00::
hom_740_10	shoot%2:35:10::	blast%2:33:01::
hom_741_8	wall_socket%1:06:00::	exit%1:06:00::
hom_742_11	deadwood%1:20:00::	fifth_wheel%1:07:00::
hom_745_14	thread%1:06:00::	ribbon%1:17:00::
hom_751_8	rattle%1:11:00::	rattle%2:39:00::
hom_754_7	lie%1:18:00::	lie%2:35:00::
hom_756_16	draw%1:04:02::	describe%2:32:00::
hom_759_7	take%1:04:00::	necessitate%2:42:00::
hom_762_7	point_of_view%1:09:00::	vantage_point%1:15:00::
hom_763_9	bowl%1:06:01::	bowl%2:35:04::
hom_764_14	crane%1:06:00::	crane%1:05:00::
hom_765_11	overall%1:06:02::	overall%5:00:00:general:00
hom_766_13	calf%1:05:01::	calf%1:05:00::
hom_768_14	pin%1:06:07::	pin%1:06:01::
hom_769_13	average%1:09:01::	average%5:00:02:normal:01
hom_770_10	trip%1:26:00::	trip%1:04:00::
hom_771_16	weight%1:06:01::	weight%1:07:00::
hom_774_4	staff%1:14:01::	staff%1:14:00::
hom_775_23	roast%1:13:00::	joint%1:08:00::
hom_778_12	cool%3:00:03::	aplomb%1:07:00::
hom_779_12	connection%1:24:00::	connection%1:26:00::
hom_780_19	log%1:06:01::	log%2:35:00::
hom_785_23	clam%1:05:00::	clam%2:35:00::
hom_787_33	change%2:30:00::	change%2:30:03::
hom_788_11	wrench%1:06:00::	wrench%2:35:00::
hom_790_13	blow%1:04:02::	float%2:38:00::
hom_791_18	cut%1:06:00::	reduce%2:30:00::
hom_793_7	go%1:04:00::	become%2:30:00::
hom_796_10	light%5:00:00:digestible:00	clean%5:00:01:pure:02
hom_799_11	dry%3:00:01::	dry%5:00:00:humorous:00
hom_800_15	exponent%1:10:00::	power%1:07:00::
hom_805_9	save%2:40:00::	save%1:04:00::
hom_806_3	charge%1:19:00::	charge%2:33:00::
hom_807_10	appendix%1:10:00::	appendix%1:08:00::
hom_811_17	bell_ringer%1:04:00::	notice%2:39:00::
hom_812_8	draw%1:04:02::	describe%2:32:00::
hom_814_12	snip%2:35:00::	cut%2:30:02::
hom_815_6	down%1:08:00::	down%4:02:00::
hom_817_11	date%1:28:04::	date%1:14:00::
hom_819_15	determine%2:32:00::	detect%2:39:00::
hom_820_11	peanut%1:20:00::	peanut%1:13:00::
hom_821_10	figure%1:25:00::	number%1:07:00::
hom_825_13	turn%1:04:01::	become%2:42:01::
hom_828_18	mean%5:00:02:stingy:00	taut%5:00:00:tense:01
hom_829_17	browning_automatic_rifle%1:06:00::	barroom%1:06:00::
hom_834_13	crown%1:10:01::	peak%1:15:00::
hom_835_19	clean%3:00:01::	clean%5:00:00:fair:03
hom_836_7	leak%1:17:00::	leak%2:32:01::
hom_838_10	call%2:32:14::	career%1:04:00::
hom_843_15	nut%1:06:00::	testis%1:08:00::
hom_845_9	right%5:00:00:outside:00	right%1:07:00::
hom_847_26	drop%1:11:00::	drop%1:23:00::
hom_848_14	home_plate%1:06:00::	plate%2:35:00::
hom_852_12	touch%1:09:01::	touch%1:11:00::
hom_854_10	run%1:04:02::	run%2:38:00::
hom_855_5	change%2:30:00::	change%1:11:00::
hom_857_15	changeable%5:00:00:colorful:00	shooting%1:04:00::
hom_860_8	angelic%5:00:00:lovable:00	odoriferous%5:00:01:fragrant:00
hom_864_25	solution%1:10:00::	solution%1:27:00::
hom_866_26	pick%1:06:00::	blame%2:32:01::
hom_868_16	entrance%1:06:00::	capture%2:37:00::
hom_870_15	clog_dance%1:04:00::	clog%2:35:00::
hom_871_10	bundle%1:06:00::	package%1:14:00::
hom_872_9	racetrack%1:06:00::	path%1:17:00::
hom_873_10	spend%2:40:01::	spend%2:42:00::
hom_876_9	spark_plug%1:06:00::	punch%2:35:00::
hom_877_9	uproot%2:41:00::	uproot%2:36:00::
hom_878_10	chemistry%1:09:00::	chemistry%1:27:00::
hom_881_11	track%1:06:06::	path%1:17:00::
hom_886_12	work%1:19:00::	work%2:41:02::
hom_890_5	tire%2:29:01::	tire%2:29:00::
hom_891_9	scramble%2:35:00::	clamber%2:38:00::
hom_898_6	bird%1:13:00::	bird%1:05:00::
hom_901_10	incandescence%1:19:00::	glow%2:39:00::
hom_903_7	boom%1:11:02::	smash%2:35:00::
hom_906_4	plant%1:03:00::	plant%1:06:01::
hom_907_13	ear%1:08:00::	ear%1:09:00::
hom_908_19	shoot%2:43:00::	shoot%1:04:00::
hom_910_8	drone%1:05:00::	dawdler%1:18:00::
hom_911_15	garnishee%2:40:00::	trim%2:36:00::
hom_912_9	express%1:06:00::	express%1:10:00::
hom_915_16	observant%5:00:00:attentive:00	law-abiding%5:00:00:lawful:00
hom_916_8	ground%2:35:12::	establish%2:31:03::
hom_917_15	fire%1:22:00::	open_fire%2:33:00::
hom_918_17	dry%3:00:01::	dry%5:00:00:humorous:00
hom_920_11	enlargement%1:06:00::	explosion%1:11:00::
hom_923_6	issue%1:04:01::	consequence%1:19:00::
hom_924_10	deletion%1:10:00::	cut%1:26:00::
hom_925_10	dock%1:20:00::	dock%2:38:00::
hom_934_10	emotional_state%1:26:00::	spirit%1:26:00::
hom_937_22	complex%1:12:00::	complex%1:09:00::
hom_938_8	split%1:23:00::	divide%2:41:00::
hom_939_6	space%1:10:00::	space%1:25:00::
hom_940_22	ball%1:06:01::	musket_ball%1:06:00::
hom_941_28	change%1:11:00::	change%1:24:00::
hom_942_10	stroke%1:04:00::	throw%1:11:00::
hom_943_9	leaf%1:20:00::	flick%2:39:10::
hom_945_14	push-down_storage%1:06:00::	stack%2:35:00::
hom_946_12	campaign%1:04:02::	drive%2:38:01::
hom_954_13	production_line%1:06:00::	occupation%1:04:00::
hom_959_15	frank%1:13:00::	frank%1:18:00::
hom_960_13	spin%2:36:00::	spin%1:04:03::
hom_962_16	operate%2:41:00::	function%2:35:00::
hom_964_13	lead%2:38:01::	conduct%2:41:00::
hom_969_14	cook%1:18:01::	cook%2:36:00::
hom_970_8	exhaust%1:06:00::	consume%2:34:01::
hom_971_6	polarity%1:24:00::	sign%1:10:05::
hom_972_8	trail%1:17:01::	chase%2:38:00::
hom_974_8	downhill%1:11:00::	downhill%4:02:01::
hom_976_13	pull%1:04:00::	pull%2:35:00::
hom_977_11	point_of_view%1:09:00::	base%1:06:00::
hom_979_18	icky%5:00:00:bad:00	lousy%5:00:00:dirty:01
