hom_3_7	sting%1:26:01::	sting%2:35:01::
hom_546_34	sign%2:32:02::	sign%1:15:00::
hom_547_7	downhill%1:11:00::	downhill%4:02:00::
hom_548_21	stir%2:37:00::	stir%1:26:01::
hom_550_10	mammoth%1:05:00::	mammoth%5:00:01:large:00
hom_552_6	problem%1:09:00::	problem%1:10:00::
hom_554_14	fashion%1:06:00::	fashion%2:36:00::
hom_555_10	spruce%2:30:00::	spruce%2:29:00::
hom_557_9	slice%2:35:00::	slice%2:35:01::
hom_558_9	precipitous%5:00:00:hurried:00	precipitous%5:00:00:steep:00
hom_563_6	fall%2:30:10::	fall%2:38:00::
hom_565_10	bottle%2:40:00::	bottle%2:35:00::
hom_566_14	square%1:25:00::	square%4:02:01::
hom_568_8	interest%1:04:01::	interest%1:14:00::
hom_569_1	power%1:19:00::	power%1:18:00::
hom_570_8	shrink%2:30:02::	shrink%1:18:00::
hom_571_10	support%2:41:01::	support%1:04:03::
hom_573_7	disappear%2:30:00::	disappear%2:30:02::
hom_574_11	connection%1:04:00::	connection%1:18:01::
hom_575_11	charge%2:40:03::	charged%3:00:00::
hom_578_14	flash%2:39:02::	flash%1:28:00::
hom_579_13	base%1:06:04::	base%1:14:00::
hom_581_11	weather%1:19:00::	weather%2:38:00::
hom_582_9	buffalo%2:37:00::	buffalo%2:37:00::
hom_584_17	lie%1:18:00::	lie%2:42:01::
hom_587_7	drill%2:31:00::	drill%1:04:00::
hom_588_8	steal%1:04:00::	steal%2:33:00::
hom_590_11	pop%2:30:03::	pop%5:00:00:nonclassical:00
hom_591_10	flop%2:38:00::	flop%2:41:00::
hom_593_13	oppose%2:42:00::	oppose%2:41:00::
hom_594_7	incline%2:42:01::	incline%2:37:00::
hom_595_14	downhill%1:11:00::	downhill%4:02:00::
hom_596_16	caliber%1:07:00::	caliber%1:07:01::
hom_597_6	stable%1:06:00::	stable%5:00:00:unchangeable:00
hom_598_9	cold%1:26:00::	cold%5:00:00:cool:03
hom_599_12	kick%2:34:00::	kick%1:04:00::
hom_600_16	bench%1:06:03::	bench%1:06:01::
hom_602_10	grouper%1:13:00::	grouper%1:05:00::
hom_604_19	thin%3:00:04::	thin%3:00:02::
hom_605_6	melt%2:30:01::	melt%1:22:00::
hom_608_8	steal%1:04:00::	steal%2:40:00::
hom_609_13	clean%2:29:00::	clean%3:00:02::
hom_614_18	steep%1:17:00::	steep%5:00:00:high:01
hom_619_12	drive%2:41:13::	drive%2:33:00::
hom_620_13	up%5:00:00:prepared:00	up%5:00:00:functioning:00
hom_621_6	drill%1:06:00::	drill%1:04:00::
hom_622_4	rash%5:00:00:imprudent:00	rash%1:26:00::
hom_624_11	swell%1:17:00::	swell%1:18:00::
hom_627_1	stand-in%1:18:00::	substitute%1:18:00::
hom_628_13	storm%1:19:00::	storm%2:43:01::
hom_629_11	dough%1:21:00::	dough%1:13:00::
hom_630_8	scale%1:10:00::	scale%1:06:03::
hom_635_18	degree%1:07:01::	degree%1:10:00::
hom_636_10	relief%1:18:00::	relief%1:06:00::
hom_637_11	frank%2:32:00::	frank%5:00:00:direct:02
hom_638_11	expression%1:10:02::	expression%1:10:00::
hom_640_8	waste%1:27:00::	waste%1:04:01::
hom_642_12	carry%2:42:12::	carry%2:42:03::
hom_644_9	vision%1:09:01::	vision%1:09:02::
hom_646_15	present%2:40:00::	present%2:32:04::
hom_650_14	still%4:02:01::	still%2:30:05::
hom_654_11	staff%1:14:00::	faculty%1:09:00::
hom_655_14	afraid%3:00:00::	afraid%5:00:00:disinclined:00
hom_656_3	foil%2:41:00::	foil%2:35:00::
hom_658_12	suggestion%1:10:00::	suggestion%1:04:02::
hom_659_7	flexible%3:00:02::	flexible%5:00:00:elastic:00
hom_660_12	check%2:31:02::	check%2:41:14::
hom_662_10	strain%2:30:00::	strain%2:35:01::
hom_663_18	resonate%2:31:00::	resonate%2:39:00::
hom_664_10	hook%2:35:02::	hook%2:35:01::
hom_666_9	sweet%1:13:00::	sweet%1:07:00::
hom_667_10	note%2:39:00::	noted%5:00:00:noticeable:00
hom_668_10	discarded%5:00:00:unwanted:00	discard%2:40:00::
hom_670_15	snap%2:32:01::	snap%2:35:01::
hom_671_6	striking%5:00:00:conspicuous:00	striking%1:04:00::
hom_672_10	top%1:06:03::	top%2:35:02::
hom_673_13	fell%1:04:00::	fell%1:27:00::
hom_675_16	point%2:33:10::	point%2:38:05::
hom_676_7	steal%2:33:00::	steal%1:04:00::
hom_677_6	log%2:35:00::	log%1:06:01::
hom_680_17	fertilize%2:29:00::	fertilize%2:30:01::
hom_681_7	degree%1:26:01::	degree%1:07:01::
hom_686_11	skip%2:38:03::	skip%1:04:01::
hom_687_11	state%1:14:00::	state%2:32:00::
hom_688_6	pressure%1:09:00::	pressure%1:19:00::
hom_689_15	nag%2:32:00::	nag%2:31:00::
hom_690_5	goal%1:04:00::	goal%1:09:00::
hom_691_13	jerky%1:13:00::	jerked_meat%1:13:00::
hom_692_7	overboard%4:02:00::	overboard%4:02:01::
hom_693_44	bug%1:05:03::	bug%1:06:00::
hom_694_10	deep%5:00:00:esoteric:00	deep%3:00:02::
hom_697_12	snap%1:06:00::	snap%2:35:02::
hom_698_11	hot%3:00:02::	hot%5:00:00:good:01
hom_699_17	rash%5:00:00:imprudent:00	rash%1:14:00::
hom_704_11	rose%5:00:00:chromatic:00	rose%1:07:00::
hom_705_9	toll%1:21:00::	toll%2:40:00::
hom_707_15	cured%5:00:02:preserved:02	cure%2:29:00::
hom_710_24	pupil%1:18:00::	pupil%1:18:01::
hom_711_8	cutting%1:04:03::	cut%2:29:00::
hom_713_5	relative%1:05:00::	relative%1:18:00::
hom_714_14	frosty%5:00:00:cold:02	frosty%5:00:02:cold:01
hom_715_9	bug%2:37:00::	bug%2:39:00::
hom_716_3	keep%2:34:00::	keep%1:21:00::
hom_717_10	dawn%1:28:00::	dawn%2:31:13::
hom_718_10	tip%2:38:00::	tip%1:21:00::
hom_723_13	work%2:31:13::	work%2:29:00::
hom_726_15	hip%1:25:00::	hip%1:08:00::
hom_727_9	stage%2:36:00::	stage%1:15:00::
hom_728_9	pound%1:23:08::	pound%1:18:00::
hom_729_17	moped%1:06:00::	mop%2:29:00::
hom_732_15	harden%2:30:03::	hardened%5:00:05:hard:02
hom_735_3	wave%2:29:00::	wave%2:38:00::
hom_736_9	scratch%1:15:00::	scratch%2:35:05::
hom_737_9	boot%2:29:00::	boot%1:04:00::
hom_740_10	shoot%2:35:01::	shoot%2:43:00::
hom_741_8	outlet%1:06:01::	outlet%1:06:02::
hom_742_11	deadwood%1:07:00::	deadwood%1:20:00::
hom_745_14	thread%1:06:00::	thread%2:38:00::
hom_748_7	prior%1:18:00::	prior%5:00:00:antecedent:00
hom_749_11	perspective%1:09:00::	perspective%1:07:00::
hom_751_8	rattled%5:00:00:discomposed:00	rattle%2:38:00::
hom_753_17	underhand%3:00:00::	underhanded%3:00:00::
hom_754_7	lie%2:42:02::	lie%2:35:00::
hom_756_16	draw%2:38:11::	draw%2:41:13::
hom_758_11	chicken%1:11:00::	chicken%1:18:00::
hom_759_7	take%2:33:09::	take%2:40:08::
hom_762_7	viewpoint%1:15:00::	viewpoint%1:09:00::
hom_763_9	bowl%2:35:04::	bowl%2:38:00::
hom_764_14	crane%1:05:00::	crane%2:29:00::
hom_765_11	overall%5:00:00:gross:00	overall%1:06:00::
hom_766_13	calf%1:05:01::	calf%1:27:00::
hom_767_13	smart%5:00:00:forward:02	smart%5:00:00:automatic:00
hom_768_14	pin%1:06:00::	pin%2:35:01::
hom_769_13	average%5:00:03:normal:01	average%5:00:01:normal:01
hom_770_10	trip%1:04:00::	trip%1:26:00::
hom_771_16	weight%1:23:02::	weight%1:06:01::
hom_774_4	staff%1:27:00::	staff%1:10:00::
hom_775_23	joint%1:08:00::	joint%1:13:00::
hom_778_12	cool%5:00:00:unqualified:02	cool%5:00:00:fashionable:00
hom_779_12	connection%1:04:00::	connection%1:04:01::
hom_780_19	log%1:06:01::	log%1:10:00::
hom_785_23	clam%2:35:00::	clam%2:35:00::
hom_787_33	change%2:40:00::	changed%5:00:00:altered:00
hom_788_11	wrench%2:35:01::	wrench%2:38:00::
hom_790_13	waste%2:40:00::	blow%2:39:00::
hom_791_18	cut%2:38:15::	cut%2:38:01::
hom_793_7	go%2:35:13::	go%2:42:13::
hom_796_10	light%2:30:00::	light%1:18:00::
hom_799_11	dry%5:00:01:plain:01	dry%5:00:00:humorous:00
hom_800_15	power%1:14:00::	power%1:19:00::
hom_805_9	save%2:40:03::	save%2:32:04::
hom_806_3	charge%2:35:02::	charge%2:32:12::
hom_807_10	appendix%1:10:00::	appendix%1:08:00::
hom_810_12	fret%1:06:00::	fret%2:40:00::
hom_811_17	mark%2:32:00::	mark%2:35:01::
hom_812_8	draw%2:30:08::	draw%2:34:01::
hom_814_12	prune%2:35:00::	prune%2:30:00::
hom_815_6	down%1:18:00::	down%2:34:00::
hom_817_11	date%2:41:01::	date%1:28:03::
hom_819_15	find%2:39:01::	find%2:30:13::
hom_820_11	peanuts%1:21:00::	peanut%1:13:00::
hom_821_10	figure%2:36:00::	figure%1:07:01::
hom_825_13	turn%2:29:00::	turn%1:04:07::
hom_828_18	tight%5:00:00:scarce:00	tight%5:00:00:compact:00
hom_829_17	bar%1:07:00::	bar%1:06:06::
hom_833_11	cuckoo%1:18:00::	cuckoo%2:32:00::
hom_834_13	crown%1:06:04::	crown%1:15:00::
hom_835_19	clean%2:29:00::	clean%5:00:00:antiseptic:00
hom_836_7	leak%2:30:04::	leak%2:32:01::
hom_838_10	call%2:32:01::	call%2:32:02::
hom_843_15	nut%1:06:00::	nuts%5:00:00:insane:00
hom_847_26	drop%2:38:05::	drop%2:32:00::
hom_848_14	plate%2:35:00::	plate%1:06:01::
hom_851_8	swept%3:00:00::	swept%3:00:00::
hom_852_12	touch%2:41:00::	touch%1:09:01::
hom_854_10	run%2:38:05::	run%2:38:04::
hom_855_5	change%2:30:02::	change%2:38:00::
hom_857_15	shot%1:04:06::	shot%1:04:09::
hom_858_6	digital%3:01:01::	digital%3:00:00::
hom_860_8	sweet%4:02:00::	sweet%1:07:00::
hom_863_5	fallout%1:27:00::	fallout%1:19:00::
hom_864_25	solution%1:10:00::	solution%1:04:00::
hom_866_26	pick%1:06:03::	pick%1:04:01::
